TRIP_ID,DAY_OF_WEEK,DATE,UNICORN,STOP_ID,STOP_SEQUENCE,STOP_NAME,SHAPE_DIST_TRAVELED,DELAY
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U488Z7,14,Nemocnice Krč,8.196819999999999,35.0
333_655_200307,Sunday,2020-05-03,333_655_200307_03_May,U228Z5,15,Kačerov,9.55995,1.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U1502Z2,1,"Dolní Břežany,Náměstí",0.0,151.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U1501Z2,2,"Dolní Břežany,Na kopečku",0.62157,93.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U545Z2,3,Písnice,3.37885,78.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U546Z2,4,Ke Březině,3.75854,55.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U871Z2,5,Lipovická,3.95848,28.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U369Z2,6,Sídliště Písnice,4.46002,28.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U783Z2,7,U Libušské sokolovny,4.93273,44.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U335Z2,8,Libuš,5.30273,40.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U804Z2,9,U Zvoničky,5.6134,11.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U194Z2,10,Jalodvorská,5.9722599999999995,6.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U749Z2,11,Tempo,6.841130000000001,-40.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U656Z2,12,Sídliště Krč,7.17996,-18.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U893Z4,13,Zálesí,7.643960000000001,-23.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U488Z7,14,Nemocnice Krč,8.196819999999999,3.0
333_673_200307,Sunday,2020-05-03,333_673_200307_03_May,U228Z5,15,Kačerov,9.55995,-53.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U1502Z2,7,"Dolní Břežany,Náměstí",5.31161,-11.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U1501Z2,8,"Dolní Břežany,Na kopečku",5.93318,-2.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U545Z2,9,Písnice,8.69046,-2.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U546Z2,10,Ke Březině,9.07015,-19.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U871Z2,11,Lipovická,9.27009,-52.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U369Z2,12,Sídliště Písnice,9.77163,4.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U783Z2,13,U Libušské sokolovny,10.24434,-3.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U335Z2,14,Libuš,10.614339999999999,-14.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U804Z2,15,U Zvoničky,10.92501,-7.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U194Z2,16,Jalodvorská,11.28387,-6.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U749Z2,17,Tempo,12.15274,2.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U656Z2,18,Sídliště Krč,12.49158,-7.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U893Z4,19,Zálesí,12.95557,10.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U488Z7,20,Nemocnice Krč,13.508429999999999,20.0
333_1024_200307,Sunday,2020-05-03,333_1024_200307_03_May,U228Z5,21,Kačerov,14.87156,3.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U1502Z2,1,"Dolní Břežany,Náměstí",0.0,26.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U1501Z2,2,"Dolní Břežany,Na kopečku",0.62157,31.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U545Z2,3,Písnice,3.37885,26.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U546Z2,4,Ke Březině,3.75854,15.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U871Z2,5,Lipovická,3.95848,0.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U369Z2,6,Sídliště Písnice,4.46002,9.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U783Z2,7,U Libušské sokolovny,4.93273,2.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U335Z2,8,Libuš,5.30273,8.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U804Z2,9,U Zvoničky,5.6134,6.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U194Z2,10,Jalodvorská,5.9722599999999995,-20.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U749Z2,11,Tempo,6.841130000000001,-68.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U656Z2,12,Sídliště Krč,7.17996,7.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U893Z4,13,Zálesí,7.643960000000001,-5.0
